letter:, K, 9.7938, 1, numbers: Stim:, -1, User:, -1, 0.8530
letter:, K, 19.3441, -1, numbers: Stim:, 1, User:, 1, 1.0155
letter:, A, 29.2925, 1, numbers: Stim:, -1, User:, 1, 0.9167
letter:, A, 38.9943, -1, numbers: Stim:, -1, User:, -1, 1.8906
letter:, A, 48.6586, -1, numbers: Stim:, 1, User:, 1, 0.7358
letter:, K, 59.0244, 1, numbers: Stim:, -1, User:, -1, 0.9769
letter:, A, 68.8754, 1, numbers: Stim:, 1, User:, 1, 0.7661
letter:, K, 78.7235, 1, numbers: Stim:, -1, User:, -1, 0.6099
letter:, K, 89.9209, -1, numbers: Stim:, -1, User:, 1, 0.4254
letter:, A, 99.7538, 1, numbers: Stim:, -1, User:, 1, 0.6949
letter:, K, 109.6048, -1, numbers: Stim:, -1, User:, 1, 0.5857
letter:, A, 119.3728, -1, numbers: Stim:, -1, User:, -1, 0.7933
letter:, K, 129.2040, -1, numbers: Stim:, 1, User:, 1, 0.8050
letter:, A, 139.1043, 1, numbers: Stim:, 1, User:, 1, 0.6038
letter:, K, 148.7202, -1, numbers: Stim:, -1, User:, 1, 0.6556
letter:, A, 158.4695, 1, numbers: Stim:, 1, User:, 1, 1.0274
letter:, A, 168.1364, 1, numbers: Stim:, -1, User:, -1, 0.7669
letter:, A, 177.8029, -1, numbers: Stim:, -1, User:, -1, 0.7639
letter:, K, 187.4519, -1, numbers: Stim:, 1, User:, 1, 1.1589
letter:, A, 196.9853, -1, numbers: Stim:, 1, User:, 1, 0.9194
letter:, A, 206.5514, 1, numbers: Stim:, 1, User:, 1, 0.7031
letter:, A, 216.1676, -1, numbers: Stim:, 1, User:, 1, 0.6371
letter:, A, 225.7011, -1, numbers: Stim:, -1, User:, -1, 0.4577
letter:, K, 235.3321, 1, numbers: Stim:, -1, User:, -1, 0.5734
letter:, A, 244.8665, 1, numbers: Stim:, 1, User:, 1, 0.6780
letter:, A, 254.3989, -1, numbers: Stim:, -1, User:, 1, 0.4983
letter:, K, 264.0317, 1, numbers: Stim:, -1, User:, -1, 0.6029
letter:, K, 273.6638, -1, numbers: Stim:, -1, User:, -1, 0.7967
letter:, A, 283.1974, -1, numbers: Stim:, -1, User:, -1, 0.4510
letter:, A, 292.7317, -1, numbers: Stim:, -1, User:, -1, 0.7721
letter:, K, 302.3803, -1, numbers: Stim:, -1, User:, 1, 0.6213
letter:, A, 311.9149, 1, numbers: Stim:, 1, User:, 1, 0.4805
letter:, A, 321.4454, 1, numbers: Stim:, -1, User:, -1, 0.8904
letter:, K, 330.9783, 1, numbers: Stim:, 1, User:, -1, 0.4845
letter:, K, 340.5114, -1, numbers: Stim:, -1, User:, -1, 0.8510
letter:, A, 350.0443, 1, numbers: Stim:, -1, User:, 1, 0.5050
letter:, K, 359.5773, -1, numbers: Stim:, 1, User:, -1, 0.9506
letter:, K, 369.1269, 1, numbers: Stim:, 1, User:, 1, 0.8609
letter:, A, 378.6598, -1, numbers: Stim:, -1, User:, -1, 0.8316
letter:, K, 388.1944, -1, numbers: Stim:, 1, User:, 1, 0.7538
