letter: K, 7.9664, left, numbers: Stim:oddUser: none, -1
letter: K, 17.9830, left, numbers: Stim:oddUser: odd, 0.8971
letter: K, 27.6319, left, numbers: Stim:oddUser: odd, 0.8176
letter: A, 37.3654, right, numbers: Stim:oddUser: odd, 1.1680
letter: K, 46.9145, left, numbers: Stim:evenUser: even, 1.4060
letter: A, 56.4798, right, numbers: Stim:evenUser: even, 1.0327
letter: K, 66.2313, right, numbers: Stim:evenUser: even, 1.5638
letter: K, 76.0472, left, numbers: Stim:evenUser: even, 1.3408
letter: K, 85.9458, left, numbers: Stim:evenUser: even, 1.0375
letter: A, 95.6125, left, numbers: Stim:oddUser: odd, 1.6768
letter: K, 105.3457, left, numbers: Stim:oddUser: even, 1.4258
letter: K, 115.3284, left, numbers: Stim:evenUser: even, 1.1000
letter: A, 125.3776, right, numbers: Stim:oddUser: odd, 1.4828
letter: A, 136.9274, left, numbers: Stim:oddUser: odd, 0.9350
letter: A, 146.7440, left, numbers: Stim:oddUser: odd, 0.8033
letter: K, 156.2936, left, numbers: Stim:oddUser: odd, 0.8338
letter: A, 165.9259, right, numbers: Stim:evenUser: even, 1.0346
letter: K, 175.4580, left, numbers: Stim:evenUser: even, 0.8721
letter: K, 184.9919, left, numbers: Stim:evenUser: even, 0.6623
letter: K, 194.5249, right, numbers: Stim:evenUser: even, 0.9710
letter: K, 204.0906, right, numbers: Stim:oddUser: odd, 1.3059
letter: A, 213.6411, right, numbers: Stim:oddUser: odd, 0.5618
letter: K, 223.2732, right, numbers: Stim:evenUser: even, 0.7693
letter: A, 232.8058, left, numbers: Stim:evenUser: odd, 0.9792
letter: A, 242.3389, right, numbers: Stim:evenUser: even, 0.8739
letter: K, 251.8720, right, numbers: Stim:evenUser: even, 1.2423
letter: A, 261.4053, left, numbers: Stim:evenUser: even, 1.5367
letter: A, 270.9373, left, numbers: Stim:evenUser: even, 0.5090
letter: K, 280.4713, left, numbers: Stim:oddUser: odd, 1.1854
letter: K, 290.0034, left, numbers: Stim:oddUser: odd, 0.7581
letter: K, 299.5362, right, numbers: Stim:oddUser: odd, 1.2268
letter: A, 309.0683, left, numbers: Stim:oddUser: odd, 0.8531
letter: A, 318.6019, right, numbers: Stim:oddUser: odd, 0.6393
letter: K, 328.2179, right, numbers: Stim:oddUser: odd, 1.4020
letter: A, 337.7525, left, numbers: Stim:evenUser: even, 0.7934
letter: A, 347.2833, right, numbers: Stim:evenUser: even, 1.1092
letter: K, 356.8172, right, numbers: Stim:evenUser: even, 0.8723
letter: A, 366.3494, right, numbers: Stim:oddUser: odd, 1.2862
letter: K, 375.8831, left, numbers: Stim:oddUser: odd, 1.5823
letter: K, 385.5170, left, numbers: Stim:oddUser: odd, 0.6111
