letter:, A, 8.6102, -1, numbers: Stim:, -1, User:, -1, 1.7115
letter:, A, 18.2271, 1, numbers: Stim:, 1, User:, -1, 0.7573
letter:, K, 28.0849, 1, numbers: Stim:, 1, User:, 1, 0.5965
letter:, A, 37.7429, 1, numbers: Stim:, -1, User:, -1, 0.6305
letter:, A, 47.2762, -1, numbers: Stim:, 1, User:, 1, 0.5679
letter:, K, 56.8089, 1, numbers: Stim:, 1, User:, 1, 0.5986
letter:, K, 66.3414, -1, numbers: Stim:, 1, User:, 1, 0.4180
letter:, K, 75.8740, -1, numbers: Stim:, 1, User:, 1, 0.6417
letter:, K, 85.4072, 1, numbers: Stim:, -1, User:, -1, 0.6547
letter:, K, 95.1069, -1, numbers: Stim:, 1, User:, 1, 0.5374
letter:, K, 104.6642, -1, numbers: Stim:, -1, User:, 1, 0.8448
letter:, A, 114.1898, -1, numbers: Stim:, 1, User:, 1, 0.8312
letter:, K, 123.7212, -1, numbers: Stim:, 1, User:, 1, 0.7051
letter:, A, 133.6218, 1, numbers: Stim:, -1, User:, -1, 0.6811
letter:, A, 143.1547, 1, numbers: Stim:, -1, User:, -1, 0.6555
letter:, K, 152.6875, -1, numbers: Stim:, -1, User:, -1, 1.0450
letter:, A, 162.2214, 1, numbers: Stim:, -1, User:, -1, 0.8027
letter:, A, 171.7529, 1, numbers: Stim:, 1, User:, -1, 0.5447
letter:, K, 181.2858, 1, numbers: Stim:, 1, User:, 1, 1.2067
letter:, K, 190.8199, 1, numbers: Stim:, 1, User:, 1, 1.0164
letter:, K, 200.3526, -1, numbers: Stim:, 1, User:, 1, 0.7993
letter:, K, 209.8840, 1, numbers: Stim:, 1, User:, -1, 0.5419
letter:, K, 219.4183, -1, numbers: Stim:, -1, User:, 1, 0.7344
letter:, A, 228.9514, 1, numbers: Stim:, -1, User:, -1, 1.0399
letter:, K, 238.6532, -1, numbers: Stim:, -1, User:, -1, 1.8024
letter:, K, 248.1827, 1, numbers: Stim:, 1, User:, 1, 0.6996
letter:, K, 257.7163, -1, numbers: Stim:, -1, User:, -1, 0.6872
letter:, A, 267.2487, 1, numbers: Stim:, 1, User:, 1, 0.7736
letter:, A, 276.7818, -1, numbers: Stim:, -1, User:, 1, 1.1254
letter:, A, 286.3154, 1, numbers: Stim:, 1, User:, -1, 0.6860
letter:, A, 295.8467, 1, numbers: Stim:, 1, User:, 1, 0.6607
letter:, A, 305.3807, 1, numbers: Stim:, -1, User:, -1, 0.8905
letter:, A, 314.9138, 1, numbers: Stim:, -1, User:, -1, 0.8810
letter:, A, 324.4465, -1, numbers: Stim:, -1, User:, -1, 0.5704
letter:, K, 334.1792, -1, numbers: Stim:, -1, User:, -1, 0.8261
letter:, A, 343.7124, 1, numbers: Stim:, 1, User:, 1, 0.9179
letter:, A, 353.2449, 1, numbers: Stim:, 1, User:, 1, 0.5786
letter:, A, 362.7779, 1, numbers: Stim:, -1, User:, -1, 0.2587
letter:, K, 372.3114, 1, numbers: Stim:, -1, User:, -1, 0.5217
letter:, A, 381.8434, 1, numbers: Stim:, -1, User:, -1, 0.6537
