letter:, A, 10.0829, 1, numbers: Stim:, 1, User:, 1, 0.8266
letter:, K, 19.7323, 1, numbers: Stim:, 1, User:, -1, 0.3487
letter:, K, 29.4648, -1, numbers: Stim:, -1, User:, 1, 0.5507
letter:, A, 38.9973, 1, numbers: Stim:, -1, User:, 1, 0.4302
letter:, A, 48.5314, -1, numbers: Stim:, -1, User:, -1, 0.3694
letter:, K, 58.2807, -1, numbers: Stim:, -1, User:, 1, 0.3134
letter:, A, 67.8132, -1, numbers: Stim:, -1, User:, -1, 0.2204
letter:, A, 77.3468, -1, numbers: Stim:, 1, User:, -1, 0.4380
letter:, A, 86.8786, 1, numbers: Stim:, -1, User:, 1, 0.6276
letter:, K, 96.4116, -1, numbers: Stim:, -1, User:, 1, 0.4314
letter:, K, 105.9614, -1, numbers: Stim:, 1, User:, -1, 0.4662
letter:, K, 115.4944, -1, numbers: Stim:, 1, User:, 1, 0.6590
letter:, K, 125.0268, 1, numbers: Stim:, 1, User:, -1, 0.2934
letter:, A, 134.5605, -1, numbers: Stim:, 1, User:, 1, 0.1650
letter:, K, 144.0929, -1, numbers: Stim:, -1, User:, -1, 0.3916
letter:, K, 153.6266, 1, numbers: Stim:, -1, User:, 1, 0.8291
letter:, K, 163.1582, 1, numbers: Stim:, 1, User:, -1, 0.3938
letter:, A, 172.8253, -1, numbers: Stim:, 1, User:, -1, 0.1712
letter:, A, 182.3575, -1, numbers: Stim:, -1, User:, -1, 0.3238
letter:, A, 191.8907, 1, numbers: Stim:, -1, User:, 1, 0.3506
letter:, A, 201.4239, 1, numbers: Stim:, 1, User:, 1, 0.2818
letter:, A, 210.9572, 1, numbers: Stim:, -1, User:, 1, 0.6103
letter:, A, 220.4889, -1, numbers: Stim:, -1, User:, -1, 0.3510
letter:, A, 230.2059, 1, numbers: Stim:, -1, User:, 1, 0.2995
letter:, A, 240.7327, 1, numbers: Stim:, -1, User:, 1, 0.3380
letter:, K, 250.4736, 1, numbers: Stim:, -1, User:, -1, 0.3292
letter:, A, 260.0048, -1, numbers: Stim:, 1, User:, -1, 0.3472
letter:, K, 269.5382, -1, numbers: Stim:, -1, User:, 1, 0.3718
letter:, A, 279.0684, -1, numbers: Stim:, -1, User:, -1, 0.0942
letter:, A, 288.6039, 1, numbers: Stim:, 1, User:, 1, 0.6431
letter:, K, 298.3239, 1, numbers: Stim:, -1, User:, -1, 0.3337
letter:, K, 307.8531, -1, numbers: Stim:, 1, User:, 1, 0.4118
letter:, K, 317.5692, 1, numbers: Stim:, -1, User:, -1, 0.5177
letter:, K, 327.2854, 1, numbers: Stim:, 1, User:, -1, 0.3525
letter:, K, 336.8174, 1, numbers: Stim:, 1, User:, -1, 0.3481
letter:, A, 346.3507, -1, numbers: Stim:, 1, User:, -1, 0.5334
letter:, A, 355.8840, -1, numbers: Stim:, -1, User:, -1, 1.7175
letter:, K, 365.5176, 1, numbers: Stim:, -1, User:, -1, 0.9692
letter:, A, 375.0494, 1, numbers: Stim:, 1, User:, 1, 0.2961
letter:, A, 384.5817, 1, numbers: Stim:, 1, User:, 1, 0.3711
