letter:, K, 8.3072, 1, numbers: Stim:, -1, User:, 0, 0
letter:, A, 17.8569, 1, numbers: Stim:, -1, User:, 1, 0.1917
letter:, K, 27.5235, -1, numbers: Stim:, -1, User:, -1, 1.1515
letter:, K, 37.1392, -1, numbers: Stim:, -1, User:, -1, 0.8032
letter:, A, 46.6719, 1, numbers: Stim:, 1, User:, 1, 0.4529
letter:, K, 56.3563, 1, numbers: Stim:, -1, User:, -1, 1.9343
letter:, A, 65.8885, -1, numbers: Stim:, -1, User:, -1, 0.1528
letter:, A, 75.4204, 1, numbers: Stim:, 1, User:, -1, 0.3287
letter:, A, 84.9539, -1, numbers: Stim:, 1, User:, 1, 0.6085
letter:, A, 94.4868, 1, numbers: Stim:, 1, User:, 1, 0.5843
letter:, A, 104.0195, 1, numbers: Stim:, 1, User:, 1, 0.4402
letter:, K, 113.9509, -1, numbers: Stim:, -1, User:, -1, 0.6526
letter:, K, 123.4855, 1, numbers: Stim:, -1, User:, -1, 0.5778
letter:, K, 133.2029, 1, numbers: Stim:, 1, User:, 1, 1.8785
letter:, A, 143.0172, 1, numbers: Stim:, 1, User:, 1, 0.4509
letter:, A, 153.1798, 1, numbers: Stim:, -1, User:, 1, 0.5126
letter:, K, 163.4496, 1, numbers: Stim:, 1, User:, -1, 0.4707
letter:, K, 173.2334, 1, numbers: Stim:, 1, User:, 1, 1.2330
letter:, K, 183.4996, 1, numbers: Stim:, 1, User:, 1, 0.6801
letter:, A, 193.4065, -1, numbers: Stim:, -1, User:, -1, 0.7134
letter:, A, 203.5318, -1, numbers: Stim:, -1, User:, -1, 0.5968
letter:, A, 213.6798, 1, numbers: Stim:, -1, User:, -1, 0.9064
letter:, A, 223.3716, -1, numbers: Stim:, -1, User:, -1, 0.8309
letter:, A, 233.6980, -1, numbers: Stim:, 1, User:, -1, 0.4984
letter:, A, 244.3627, -1, numbers: Stim:, 1, User:, 1, 0.6309
letter:, A, 253.8962, -1, numbers: Stim:, 1, User:, 1, 0.6168
letter:, A, 263.4289, -1, numbers: Stim:, -1, User:, -1, 0.4853
letter:, K, 272.9618, -1, numbers: Stim:, -1, User:, 1, 0.6587
letter:, A, 282.7406, 1, numbers: Stim:, -1, User:, -1, 0.9983
letter:, K, 292.4444, 1, numbers: Stim:, 1, User:, 1, 1.0660
letter:, A, 301.9782, -1, numbers: Stim:, -1, User:, -1, 0.7494
letter:, K, 311.5092, 1, numbers: Stim:, 1, User:, 1, 0.8966
letter:, A, 321.0433, 1, numbers: Stim:, -1, User:, -1, 0.6754
letter:, A, 330.5755, 1, numbers: Stim:, -1, User:, -1, 0.6812
letter:, A, 340.1089, -1, numbers: Stim:, -1, User:, -1, 0.6497
letter:, A, 349.6407, -1, numbers: Stim:, -1, User:, -1, 0.4284
letter:, A, 359.1736, 1, numbers: Stim:, 1, User:, 1, 0.4889
letter:, K, 368.7068, 1, numbers: Stim:, -1, User:, -1, 0.5160
letter:, K, 378.5227, 1, numbers: Stim:, 1, User:, 1, 0.9147
letter:, K, 388.0563, 1, numbers: Stim:, -1, User:, -1, 0.8433
